oblomovština	oblomovský, Oblomovský
seriozní	seriózní, serie
porťák	portový, port, porta
roztočík	roztočit, roztok, roztoč
učenník	učit, učení, učít, učený
návrt	vrt, vrtat, navrtat, vrtět
podgrupa	grupa, grupovat
trněný	trn, trní
važiště	vážit, vaziště, vžít, váha, vaz, váza
bojný	bát, boj, být
vejhuda	vyhudovat, vyhoudat
ballista	ball, balista, Ball
tragač	tratit, trák
opěnka	pěný, pěnit, pat, opět
technologie	techno, technický
ropovodný	ropovod, provodit
vysout	zout, vyzout, rous
přemírný	míra, mírný, mír, přemíra
svářka	svařit, svaření, svářet, svar, svařený
ústojný	ustát, ústa, stát
volárna	vůl, volární, volař, volní
lahvovna	lahvovat, lahev, lahvový
bonitace	bonita, bonitovat, Bonita
komunér	komuna, komunizmus, komunista
výstrk	vystrkat, vystrčit, strk, strkat, Vystrk
bagelka	bagel, Bagel
křemeňák	křemen, Křemen
nesyt	set, Nesyt
provizorák	provizor, provizorní
provizorák	provizor, provizorní
sečmo	sekat, sex, seknout, sek
matičák	matice, maticový
zvukot	zvuk, zvučet
tlesknout	tleskat, tlesk
polivka	polívat, polovina, polévat, polovice, polovat
zámih	zamíhat, zamihnout
vyzina	vyzí, vyzívat
prasecí	prasit, prát, sek, prací, set, prase
záryv	zarýt, zarývat
seriózní	série, seriozní
implikátní	implikace, implikovat
žíhadlo	žíhat, číhat, líhat
vrhavý	vrhat, vrhnout, vrkat, vrknout, mrhat
dvojkov	dvojka, dvojkový
čmoudil	čmoudit, čmudit, čoudit
jangban	Jang, jang
propylaje	propyl, propylit
vlahý	vláha, vlha, váha, vlhat
plťař	plkat, plť, pleť
ovsíř	oves, ověs
centimetřík	centimetr, cent
deziluzní	deziluze, iluze, desiluze
rušník	rušný, rušit, ruch
zálik	zalikovat, zalíknout, zaleknout, zalekat
relokátor	relokovat, relokace, lokátor, relokovaný
plavčo	plavat, plavit, plavec, plakat, plak, plavý, platit
zkumný	zkoumat, koumat, zkum
laština	lašský, lacký, Laška
druhotina	druhý, druh
sklípkoš	sklepit, sklípek, sklepat
antiastmatikum	astma, asthma, astmatický
tříšťka	tříšť, tříštit
peřitý	peří, pero, péro, pýřit, přít, pářit
mouratý	mour, mor, Mour
astrofysika	astrofyzika, fysika
škicák	skica, skicák, škica, skicnout
křiklavo	křiklavý, křičet
pojatý	pojmout, jít
ultralevičačka	ultralevičák, ultralevice
trhárna	trhat, trhnout, trhák
peciště	pec, péct, cep, Pec
skaní	skaný, skát
prokop	prokopat, kopat, kop, prokopnout, kopnout, kopit, pokopat
ševcovka	švec, ševcovský, Ševcov, ševcovat
zpadesátinásobnit	padesátinásobný, padesátinásobek
zámluva	zamlouvat, zamluvit, mluvit, mluvka, mluva, smluvit
trimetylen	trimethylen, trimetylén, methylen
dřevěnička	dřevěnice, dřevěnka, dřevěný, dřevně
voňavec	voňavý, vonět
revanšista	revanš, revanšovat, revanšizmus
rektifikát	rektifikace, rektifikovat
malučko	malučký, maličko, maloučko
rožatý	rožek, roh
porota	porotovat, porotní
vskok	skok, vskočit, skočit
uzoučko	uzoučký, úzko, úzký
asociát	asociovat, asociace
vařlivý	vařit, vřít, vířit, vadit
čivstvo	čivný, čiva, čivý, čivní
reaganovec	Reagan, reaganovský
čihač	číhat, číhač, čichat, čižat
rozžitý	rozžít, rozehnout, rozlít
věďma	vědět, vězet, věda, vědma
vázat	sát, váhat
gibonovitý	gibbon, gibon, Gibbon
frankovné	frank, frankový, frankovský, frankovka
měšťáctvo	měšťák, měšťácký
cenička	cena, cenit
vložný	vloha, vložit, vložka
skvoucí	skvět, skvost
vrhlice	vrhlík, vrh, vrhat, vrhnout
řízek	říznout, říz, řízný, řez, řezat
řízek	říznout, říz, řízný, řez, řezat
rutilita	utilita, rutil
rutinář	rutina, rutin
smradit	smrdět, smrad
pokusit	pokusný, pokus
hitůvka	hitový, hit
exosféra	sféra, féra
skládat	kládat, sládnout, klást
bánovina	Bánov, bánovský
antoušek	Antoch, Ann
cechovna	cech, cechovat, cechovní
čtyrkolý	čtyrka, čtyřkolý
zásobečka	zásoba, zásobní, zásobna
spodkař	spodek, spodní
vtahnout	tahnout, táhnout
donosný	donosit, don, donést, nosný, nos
okluzní	okluziva, okluzivní, okluze
bukař	buk, boukat, bučet
stepník	step, stepat
borůvkovník	borůvka, borůvkový, Borůvka
monotonie	monotonní, tonus
kabinečka	kabina, kabinka
pádlovka	pádlovat, pádlo, pádlový
stavák	stavit, stávat, stávka
ekobojovník	bojovník, bojovný
primarní	primární, primár, prima
dvouletoun	dvouletý, dvoulet, dvojletý, dvouletka
klubovné	klubovna, klubovní, klub
ostrozrak	zrak, ostrý
vojník	oj, vojka, voj, vojna, jít
volač	volák, vůl, vole, volat, vál, voláč, volatý, volový, volek
pokost	kost, koka
vodoinstalace	doinstalovat, voda
hnanec	hnaný, hnát
ureáza	ureasa, ureus, urea
sobík	sob, sobí, sít
industriální	industrie, industriál
hnízdovka	hnízdový, hnízdo
medovatý	med, medový, medovitý
ojní	oj, jít, ód
stoletiny	stoletý, století
modelér	modelovat, model, modelář
grafémika	grafika, grafický, grafismus, grafizmus
občerstvovné	občerstvovat, občerstvovna
potometr	metr, meta, metat
žalářovné	žalářovat, žalář, žalářový
zvrkat	vrkat, hrkat, trkat
rébusovitý	rébus, rébusový, rebus
bonbonek	bonbon, bombon, bonbón
havlovina	Havel, Havlov, havlovský, Havlovka
modelčí	modelka, model
epikurovec	Epikurov, Epikur
vandrovné	vandrovat, vandrovní, vandrovaný
lesknout	lesk, lesklý
žvastoun	žvasta, žvastat, žvast
přejný	přejít, přejmout, jet, jmout
buránek	buran, Buran
pleskanice	pleskaný, pleskat, pleska, plesknout
vějka	věta, vít, vát, vina
křemíkovodík	křemíkový, křemík
kapacitance	kapacita, kapacitní
síknout	sekat, říkat
čechizátor	čechizovat, čechizace
transovní	transový, trans
kachlovka	kachel, kachlový
pomlázkovník	pomlázkový, pomlázka
šelmovina	šelma, šelmí, šlemový
stálec	stálý, stát, Stálec
dalba	dál, dalit
barbikán	Barbi, Barbie, Barbican
pestřit	pestrý, post
kancerogenita	kancerogenní, kancerogen
dívka	dívat, děva, diva
konceptualista	konceptualizmus, konceptuální, koncept
aviatička	aviatik, aviatický, vatička
absolutný	absolutní, absolutista
pazourkoviště	pazourkový, pazourek
cvikýř	cvikat, cvik
vylévák	vylévat, vylívat, vylévání
lázeňák	lázeň, lázeňský, láz
hydrostatika	hydrostatický, statika
vdole	voda, vdova
explantát	explantace, plantat
trhovice	trhový, trh, trhovec
multiprostor	prostor, strop, strup, strom
sedačkovka	sedačkový, sedačka
hlaholný	hlahol, hlaholit
braňák	braný, branský, brána
vizualista	vizualizmus, visualista, visuelní, vizualismus
marný	mara, mařit
počítačovec	počítač, počítačový, počítačka
popař	pop, popový, popřít, Pop
ramka	Ram, rám, Rama
gumovné	gumový, guma, gumování
substrom	strom, Strom
prsknout	prskat, srknout, mrsknout
prosetí	prosít, setý, projít, prosedět, set, sít
abelizace	abelský, Abel
daněk	daný, Daněk, daň
stánka	stát, stan, skát, stín
maternita	Matern, Materna
kaliko	kalo, kal
rejdit	rejda, rejd
halovka	halit, halický, halový
řevný	řev, řvát
subtabulka	tabulka, babulka
penaltička	penalta, penální, penále
mechovina	mechový, mech
patovka	patový, pata, pat
sexuologie	sexus, sex
parnasista	parnasizmus, parnas, Parnas
žákovstvo	žákovský, žák, Žák
oblaka	oblak, oblý, obléknout, obléci
ekoporadna	poradný, poradna
vysokán	vysoký, Vysoký
pažiťák	paží, pažit, paže
pororoca	porod, rota
jírovec	Jírovec, jerový, Jirovec
ságovník	ságový, sága
autoopravář	autooprava, pravý
modélek	model, modlení
uptat	ptát, plát, stát, vtápat
oblak	tlak, lak
akomodativní	akomodovat, akomodace
remodulátor	modulátor, promodulovat
stehovka	stehovat, stehový, stehovaný
mandarinečka	mandarinka, mandarinský
chemičák	chemický, chemička, chemie
svírka	svírat, sevřít
texturální	textura, text
uvala	uvalit, valit, val, valný
polba	polovat, pól, polít, pole, pólovat
táčky	táč, tác
lustrátor	lustrovat, lustrace, lustr
banderium	bandérium, band
limonádička	limonáda, limonádka
najatý	najmout, namýt, najít
rybářsku	rybář, rybářský, Rybář, rybářka
Šará	Šara, Šára
Šará	Šara, Šára
vosík	vosa, vosk, vosí
usazovák	usazovat, usazovaný
úpar	upařit, par, pařit
volejíček	volejka, volíček, volík
dojit	jít, dojít
bidelník	bidlo, Bidlo
brakýř	brak, braka
studený	studit, studeno, studovat
rádlo	radlo, radit, rád
baleťáček	baleťák, laťák
půlminutovka	půlminutový, půlminuta
zmina	zmínit, zem, změna
četina	četa, čítat, četovat, četka
intenzivní	intenzívní, intence
viděk	vidět, videc, vidmo
opěvný	opěvovat, pět
střihák	stříhat, střihat, stříhnout, střihač, střihaný
postávka	postávat, postava, stávka, postavit, postívat
posek	posekat, poseknout
lvouní	lvoun, lev, levý
chronogram	chronografie, -gram-
ledka	led, ledek
biorobotika	biorobot, biorobotický
pořadovník	pořadí, pořadový, pořad
zemanovsku	zemanovský, zeman, Zeman
zrost	zrůst, růst
sestavář	sestava, sestavovat
senderovec	Sender, senderovský
oděsa	Oděsa, usadit, uděsit
deformativní	deformovat, formativní, deformace, formovat
stromisko	strom, Strom
fermentativní	fermentace, fermentovat
kosírek	kosík, kosárek
včála	číst, skála
záhal	zahalit, halit
exgenerál	generál, generální
šprýmařit	šprýmař, šprým
pětilodní	pětilodí, pět
plešato	plešatý, plech, pleš
biográfek	biografie, biograf
skvít	květ, kvit, tkvít, skvět
malounce	malounký, malinký, malý
vichista	Vichy, Vich
kriminoložka	kriminolog, kriminologie, kriminálka
windsurfer	windsurf, windsurfing
ouklejka	ouklej, úklej
semiprodukt	produkt, produkce
stopina	stop, stopa, stopit, stopý, stopka
exogamie	exogamní, -ex-
těžisko	těžký, těžit, těžný
latina	lát, lata
dispenzář	dispens, dispensář
nitrogenáza	nitrogenasa, nitrogenní
protistátní	státní, stát
kajutovka	kajutový, kajuta
prostitut	prostituce, prostituovat
svislo	svislý, viset
stravenkovné	stravenka, stravenkový
vlačiha	vlak, vlajka
primeroska	primeros, primer
laryngologie	larynx, laryng
decimální	decimálka, decimovat
angioplastika	plastika, plastik
poloroztát	roztát, lora
holomek	Holomek, holý
vašnostka	vašnosta, vašnost
balistika	bál, bal, balista
chobotnatka	chobotnatý, chobotnatec
minorista	minor, Minor
militantní	militant, milice
prodrom	rom, hrom
muzikologie	muzický, muzika
jižný	již, jižní
karásek	karas, Karas
převozce	převážet, převoz, převádět
trojtakt	trojaktový, trojtaktní
machorka	macho, mach
varhaníkovna	varhaník, Varhaník
blokovna	blokový, blok, Blok, Blokov, blokovat, blokování
vevnitř	vnitro, vně, ven
smradlavka	smradlavý, smradlavec
zaťatý	zato, zatím
oplatka	oplatit, oplétat, opel
polévkárna	polévka, polévkář
dědour	děda, děd, dědit, díra
znenáhlu	náhlý, znenáhlý
reformát	formát, reformace, reforma, reformovat
prvák	první, prvý
internacionál	nacionál, nacionální
zbrojnošstvo	zbrojnošský, zbrojnoš, zbroj, zbrojnošství
mannovec	mann, mannovský, mannit
centimetříček	centimetřík, centimetr
hřebelec	hřeb, hřeblo
autodílna	autodíl, dílna
čepka	čep, Čep
zcitovět	citový, citovat
arminián	Arminie, Armin
velkoobchodnictvo	velkoobchodní, velkoobchodník, velkoobchodnický
nava	navát, navést
manipulátor	manipulovat, manipulace
smaragdovo	smaragd, smaragdový
spiknout	spékat, spíkat
vjev	jevit, jev, voj, jive
tuchnout	tušívat, tušit
smilný	míle, milo
polotuhý	tonout, tuha
slepejš	slepý, slepýš, slepice
subtrakce	trakce, atrakce
půldeci	plod, plést
rayonisace	rayon, rajonizovat, rajon, rayonní
stromatolit	stroma, strom
kuběna	kuba, Kuběna
zákmih	kmih, zakmitnout
závodčí	závod, zavést
metný	mést, metat, meta
dvojuchý	dvojka, dvojí, dvoják, dvojný
zámraza	zamrazit, zamrznout, zámraz, zamrazovat
dojče	dojit, dojít, dok, dojet
mušlovina	mušlový, mušle
mutný	mutovat, mnout
památečka	památka, paťák
ženní	žena, žrát, ženit, žnout
excentrista	excentr, centrista
perotina	pero, peron
prevít	vít, pívat
hmatač	hmatat, hem
verbovní	verbovat, verbum
kaléšek	Kaleš, kal
dravit	Drava, drávat, dravý, pravit
spláchnout	pláchnout, splach, splachovat
zámora	zamořit, zamířit, zamočit, mora
bernice	berník, berný, berní, Berny, Berný, Bern
valentýn	valentinský, Valentin, valit
asignatář	signatář, asignace, asignovat
živnostničit	živnostník, živnostní, živnostnice, živnostnický
akcidentální	akcidence, okcidentál, akcident
kérka	kerka, cerka, cérka, herka, Kerk
metanář	metan, hexan
zajdák	zajídat, zajda, jíst, jízda, zajíst
rozběžný	rozběh, rozběhnout, rozběhat, rozbíhat, rozběžka
démonično	démonický, démonie
mlazina	mlazický, mladina
kozák	koza, kozatý, Koza
kozák	koza, kozatý, Koza
pokres	pokreslit, kreslit, krást, srk, okreslit
spisovka	spisový, spisovat
flaušák	flauš, flaušový
trojka	trojí, trojný, trojitý
výhyn	vyhynout, vyhnat
svážka	svah, svaz, svážet
dobrotivec	dobrotivý, dobrota
znojit	znoj, dojit
vinný	vina, Vino
čapatý	čapa, čap, čep
zmalomocnit	malomocný, malomoc
manovec	manový, man, Manův, Man, manův
sutky	suť, sutit
serokonverze	rekonverze, konverze
postýlat	postlat, stlát
rickettsiosa	ricketsióza, rickettsióza, recketsióza
honebné	honební, hon
trojče	trojka, trojí
maník	man, mán
mlží	mlha, mlž, mlžit, mlžný
podfunkce	funkce, funkční
běžník	běžný, běžet, běžený, běžka
velebínek	Velebín, velebný, veleba
třaska	třást, tříska
sukovka	suk, sukový, Sukov, Suk
okruží	kruh, kura, okruh, krouhat, okrouhat, kroužit
morfologie	morf, morfický
štučka	štucovat, štuc, štuka
izotropie	izotropní, -trop-
krejčírna	krájet, krejčí, kráčet
píchanec	píchaný, píchat, pýchaný, píchnout
leziště	lézt, lízat
šperkovnička	šperkovnice, šperkovna, šperkovně
oponec	oponovat, opona
řitice	řiť, řítice, řidice
laktasa	laktáza, laktóza
žíhárna	Žíha, žíhaný, žíhat
vlčisko	vlčit, vlče, vlkový, vlk
dvouhvězda	dvojhvězda, dvouhvězdný, dvojhvězdný
občerstveníčko	občerstvení, občerstvený
zmetkovice	zmetkový, zmetek
lopaťák	lopatový, lopata
lopaťák	lopatový, lopata
útaj	utajit, taj
inkonsekvence	inkonsekventní, konsekvence
třapina	třepit, třepat, třepaný
vyřazovák	vyřazovat, vyřaďovat
tmelivo	tmelit, tmelivý
bojínek	boj, bojný
skalačka	skalák, skalka
hutnota	hutný, hutní
úřez	uřezat, řezat, řez, uříznout
šífák	šíf, šéf
bicykl	cykl, -cykl-, cyklus
zdýmat	dýmat, dmout, dát
zmatný	zmata, zmást, zmetat, zmatit
mečoun	meč, mečet
úlek	uleknout, leknout, lekat
znáčka	znáč, znát, značit
exsocialista	socializmus, sex, socialista
biomagor	magor, biom
desertní	dezert, dezertovat, dezertní
žravka	žrát, žravý
nobilitace	nobilitovat, nobilita
šrotník	šrot, šrotit, Šrot
kormidýlko	kormidélko, kormidlo
smetek	smetat, smekat, smeknout
implikativní	implikovat, implikace
sukovník	suk, sukový, Suk, sukno
vpřed	příst, vřed, přední, vpříst
polsku	polský, Polsko
spratek	sprát, seprat
anatomka	anatomie, anatomák
valovec	vál, valový, val, volový, válový
protistojný	stojný, stát
dvoukolejný	dvoukolejka, dvojkolejný, dvojkolý
retrovečírek	večírek, večer
desetina	desetice, setina
biokoncentrace	koncentrace, centrace
pravostředý	střed, středa
mnohota	mnohý, mnoho, mnohotný
azbestoza	azbest, azbestóza
vroucno	vroucný, vroucí, vrata
zákuskář	zákuska, zákusek, zákus
strčit	trčit, trčet
prostřik	střik, prostříknout
antispastikum	spastický, spastik
brodit	brod, Brod, rodit, Broda
simonovec	Simon, Simonov, Simonův
železák	železový, železa, železo
žeberný	žebro, Žebro
slepuška	slepý, slepice, slepit
volovec	vůl, volový
provoda	provodit, voda, provod, provodní
šůček	šok, šek
antonita	Anton, Antonie, Antonia, Anthon
dotud	tu, tudy
poloterénní	terénní, terén
speklina	speklý, spekle
úsušek	úsek, usušit
provod	vodit, provést, provodit, provádět, provézt, vodní, dovést, provodní
sprďák	prd, prdka, prdět, prďák
výsledkovka	výsledkový, výsledek
šroťák	šrot, šrotový
blešník	blecha, Blecha, bleší, blešní, bleška
zlotý	zlo, zlý, zle, zlota, zlít
mezivládní	mezivláda, mezivládí
šedooce	šedý, šedooký
dítky	dít, dítě
dařit	dar, dak, dalit, daň
odměšek	mach, měch, mech, Měšek
subsektor	sekce, sektor
zályk	lák, lákat
rekonstituce	konstituce, rekonstituovat, konstituovat
mechovatý	mech, mechový, Mech
budvárek	budvar, Budvar
montanista	Montana, montanizmus
separativní	separace, separovat
dvoutakt	dvojtakt, dvoutaktní
retentní	retence, reta
vlajný	vlát, vlání, vláda
vrbiště	vrba, verbovat, vřít, vrch
prdlouš	prdlý, prdět
lomeček	lůmek, Lomec
aeronautika	aeronautický, nautika
živok	živý, živit
venkovák	venkov, venkovský, venkovka
sklepák	sklepat, sklepit, sklepnout, sklep
kastlák	kastel, kastlík
fotogram	fotografie, -fot-
freewarovka	freewarový, freeware
cesionář	cese, cesium
kozlovka	kozel, kozlovna, Kozel, kozle
plutoničitý	pluton, plutonit
koketerie	koketa, koketérie, koka, koketovat
mobilisátor	mobilizovat, mobilovat, mobil
geometrie	-gram-, metrie, -metr-
dojmutý	dojmout, dom
žakéř	žako, žák, žok
umprumačka	umprum, umprumák
řečík	řeč, říct, ráce, reč
solonec	sůl, Solón
knihovačka	knihovat, knihovací, knihový
