# Derivations intermediate
# derivations that will be added to DeriNet based on Etym dict derivations list

# EtymDict: "derivation" is derivation of "grandparent", but "derivation" already has parent
# DeriNet: "parent" is root of tree containing "derivation"
# => connect "parent" (parent in DeriNet of the "derivation") to "grandparent" (in etym dict "grandparent" has listed "derivation" as child)
# root_of_grandparent <-...<- grandparent <-...<-parent <-...<-derivation


parent	grandparent	derivation
orgán#NNI??-----A---?	orgán#NNM??-----A---?	organismus#NNI??-----A---?
originál#NNI??-----A---?	originál#AAXXX----1A----	originální#AA???----??---?
orodovník#NNM??-----A---?	orodovat#V????--??-??I??	orodovnice#NNF??-----A---?
osobit#V????--??-??I??	osoba#NNF??-----A---?	osobovat#V????--??-??I??
pac#NNFXX-----A----	pac#NNI??-----A---?	pacička#NNF??-----A---?
pálit#V????--??-??I??	palice#NNF??-----A---?	palička#NNF??-----A---?
panika#NNF??-----A---?	pán#NNM??-----?---?	panictví#NNN??-----A---?
dům#NNI??-----A---?	panel#NNI??-----A---?	panelák#NNI??-----A---?
parka#NNF??-----A---?	park#NNI??-----A---?	parkový#AA???----??---?
pastorovat#V????--??-??I??	pastorek#NNM??-----A---?	pastorkyně#NNF??-----A---?
pata#NNF??-----A---?	pat#NNI??-----A---?	patový#AA???----??---?
patrona#NNF??-----A---?	patron#NNM??-----A---?	patronka#NNF??-----A---?
papír#NNI??-----A---?	pauzovat#V????--??-??I??	pauzák#NNI??-----A---?
pavouk#NNM??-----A---?	pavouk#NNI??-----A---?	pavoučí#AA???----1?---?
pašije#NNF??-----A---?	pašije#NNFP?-----A---?	pašijový#AA???----??---?
pažit#V????--??-??I??	pažit#NNI??-----A---?	pažitkový#AA???----??---?
perfektivum#NNN??-----A---?	perfektum#NNN??-----A---?	perfektivní#AA???----1?---?
petrolej#NNI??-----A---?	petrolej#NNF??-----A---?	petrolejový#AA???----??---?
lampa#NNF??-----A---?	petrolej#NNF??-----A---?	petrolejka#NNF??-----A---?
bezpečí#NNN??-----A---?	péče#NNF??-----A---?	nebezpečí#NNN??-----A---?
pilot#NNM??-----A---?	pilot#NNI??-----A---?	pilotovat#V????--??-??I??
pilota#NNF??-----A---?	pilot#NNI??-----A---?	pilotní#AA???----1?---?
pionýr#NNM??-----A---?	pionýr#NNI??-----A---?	pionýrský#AA???----??---?
opláchnout#V????--??-??P??	pláchnout#V????--??-??P??	oplachovat#V????--??-??I??
máchnout#V????--??-??P??	pláchnout#V????--??-??P??	máchat#V????--??-??I??
vlas#NNI??-----A---?	plavý#AA???----??---?	plavovlasý#AA???----??---?
pleso#NNN??-----A---?	plesat#V????--??-??I??	plesový#AA???----??---?
plevelit#V????--??-??I??	plevel#NNI??-----A---?	plevelný#AA???----??---?
zplíhat#V????--??-??I??	plihnout#V????--??-??I??	zplihlý#AA???----??---?
plus#NNI??-----A---?	plus#Db-------------	plusový#AA???----??---?
